Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,T TRÁGAME,2,5519.2,229.97,569.04,649.87,91.82,106.24,333.16,359.72,0,0,522.49,,419.86,0,0,229.49,242.35,10,189.04,0,0,576.7,508.6,0,0,369.65,341.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GALLAECIA RAID,2,4785,199.37,168.95,142.17,0,0,0,0,0,0,886.93,,932.47,139.49,104.03,343.08,351.81,429.26,375.39,104.72,68.41,182.78,155.94,0,0,220.32,179.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TREVINCA,2,4528.6,188.69,272.99,528.33,0,0,105.69,97.13,0,0,466.71,,472.77,211.08,202.17,448.97,331.09,308.33,278.02,120.18,147.82,125.01,81.07,0,0,187.91,143.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RIOJA-O,2,3967.6,165.32,159.77,161.37,10,42.38,0,0,0,0,221.72,,233.65,0,0,474.11,445.19,509.68,561.83,0,0,573.28,574.62,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PILOÑA DEPORTE,2,3941.56,164.23,338.2,414.67,0,0,88.05,69.2,0,0,855.03,,788.03,0,0,209.23,283.33,458.16,437.66,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GALITIUS,2,3934.92,163.96,214.31,261.41,0,0,82.86,88.27,0,0,343.15,,316.41,0,0,452.28,446.61,408.33,511.71,0,0,409.08,400.5,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OROS,2,3790.27,157.93,227.58,164.96,236.82,245.21,0,0,173.77,165.21,170.17,,219.6,217.35,207.27,190.56,227.06,141.12,175.41,64.21,86.37,127.29,142.53,152.38,88.34,130.14,236.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ERMASSETS,2,3754.3,156.43,220.37,230.97,320.67,349.89,194.73,196.77,101.39,53.53,0,,0,0,0,345.04,357.89,405.86,423.59,0,0,304.93,248.67,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
