Orden,Club,Division,Total,Media,CB1,CB2,Ca1,Ca2,J1,J2,CC1,CC2,CEOL,CEOS,CEOM,Por1,Por2,Mo1,Mo2,Pa1,Pa2,S1,S2,Ib1,Ib2,Bi1,Bi2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TREVINCA,3,725.53,32.98,0,0,0,0,0,0,0,0,289.14,,183.83,0,0,0,0,0,0,0,0,93.24,159.32,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SOTOBOSQUE,3,592.31,26.92,0,0,0,0,0,0,0,0,109.7,,178.94,0,0,0,0,0,0,0,0,122,181.67,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SARRIOS,3,573.61,26.07,0,0,0,0,0,0,0,0,182.97,,186.87,0,0,0,0,0,0,203.77,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ALCOI,3,566.13,25.73,78.5,0,0,0,0,0,114.39,59.56,144.16,,169.52,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ROBALIZA,3,500.91,22.77,0,0,0,0,0,0,0,0,228.22,,272.69,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,COM,3,466.39,21.2,73.53,0,53.21,58.17,0,0,0,0,133.06,,148.42,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,GALLAECIA RAID,3,462.86,21.04,0,0,0,0,0,0,0,0,236.18,,226.68,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LOS ANGELES,3,403.39,18.34,0,0,0,0,0,0,0,0,165.96,,135.7,12.5,89.23,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CASTROPOL-O,3,380.05,17.28,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,102,102,100,76.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,FAICAMIÑO,3,298.78,13.58,0,0,0,0,0,0,0,0,158.23,,140.55,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,IMOS,3,256.84,11.67,0,0,0,0,0,0,0,0,131.16,,125.68,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,VILLACARRILLO,3,255.91,11.63,0,0,0,0,0,0,0,0,0,,0,0,0,144.78,111.13,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SIMEPIERDO,3,227.25,10.33,52.13,10,0,0,0,0,0,0,60.37,,104.75,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,APA LICEO,3,198.92,9.04,0,0,0,0,0,0,0,0,119.89,,79.03,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ADCON,3,198.56,9.03,102.89,0,0,0,0,0,0,0,52.05,,43.62,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ARTABROS,3,76.14,3.46,0,0,0,0,0,0,0,0,39.01,,37.13,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,LA GLORIETA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,VILARAIDER,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,RANDOBIKE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,O-ADEMA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NORTE-SUR,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,JARNACHAS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CMG,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,BULDIÑORAID,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ALCOR,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
